333,pyraminx
2697,1965
1191,711
1671,1333
1661,1117
1260,1397
1496,1606
3374,1264
1833,1438
1273,1147
2488,1649
2419,1904
1404,936
1053,1040
1359,1925
2249,1556
2844,1681
2004,1615
3466,1793
1488,1192
3204,2479
1090,692
1648,1293
3963,3162
3413,707
1927,1307
2719,4211
1487,1737
1583,1426
808,433
1662,1877
1955,1515
2541,1594
838,534
1218,1968
1487,1299
1670,515
1842,1041
3186,4311
932,1096
1585,1532
1985,1844
2702,1271
2312,1701
1412,1670
1900,1853
2566,2765
1194,3738
1911,1763
1507,730
1050,388
1658,933
5114,1946
2037,899
1632,1635
1366,450
1957,1766
2457,1664
1701,1055
2033,2012
2370,944
1497,3052
1371,2659
1120,479
6458,1214
1639,1772
1727,1619
2052,1030
2012,1156
1155,1654
1488,1408
1568,1199
1078,573
3000,2385
3026,2496
2535,2513
1819,1640
3129,2333
892,989
1296,834
1118,537
4509,1836
1312,968
997,1104
1433,1780
1144,646
3284,1473
2093,2399
1783,6903
1290,2116
1094,1008
1400,1205
1338,1175
2753,2288
1113,1323
1132,720
1792,939
1057,951
2036,1230
2322,703
985,616
1869,1048
870,505
884,826
1782,1333
921,750
3091,1711
1132,1290
1905,1315
5066,2320
1426,1345
1478,1288
3577,2236
2879,1748
1820,388
1831,1160
1315,797
1958,1655
1838,2483
2084,1576
2089,716
1161,801
3577,3621
1591,1019
1398,1284
1212,1365
1631,1342
1136,288
3908,3232
1510,2289
1030,282
2443,2244
1048,383
1291,1380
1552,2382
1204,1152
1350,1295
1675,2128
2173,2825
1201,2902
2233,3311
1173,1300
1990,1968
3558,1867
1356,794
1107,1340
1160,1064
1309,1134
1617,1357
1459,1298
1467,940
825,775
2527,1551
1077,1019
899,989
1848,1332
1357,742
1416,1606
1582,998
2237,1348
919,2006
1221,590
1518,827
973,1167
1460,889
2327,1392
1254,570
3141,2721
2279,1739
1319,951
1450,2029
3256,3649
1043,715
1440,2149
5037,2327
1512,1472
1905,685
1180,1603
1435,1453
2400,2467
1205,1526
1202,2356
824,1440
1836,1038
1775,1582
1695,1162
1646,1638
1276,815
7927,5192
1639,1159
1629,659
1973,1418
3663,1540
1564,975
951,489
