333,444
1786,15169
1722,7358
2714,19944
2697,15204
1882,6983
2009,10035
2673,17932
1191,4668
1671,10054
1661,7169
1260,6608
1496,6553
1913,6974
2657,12362
1468,10568
1771,9616
3374,18236
2355,16847
2087,9903
1184,6630
1562,15734
1465,6039
1660,9940
1833,8399
1273,6229
2488,11603
2503,19709
6388,26272
2419,8700
1404,6473
1968,9057
1530,13628
1553,8053
1526,9857
2978,17842
1658,9883
2795,14065
4650,25521
2265,14250
1762,12488
2386,13055
2134,8664
2788,18240
1053,6014
1359,7182
1449,9946
3950,15698
2327,14263
1616,11812
1694,8882
2004,10194
3100,10911
1949,11972
3466,29891
1488,6722
1607,6479
2319,17275
2692,15352
2434,17817
2262,12223
3668,27384
2823,19312
3204,11730
1090,3971
1648,8185
2649,17158
1191,6996
1560,11355
3203,17100
1853,17039
1927,10974
2719,20923
1213,6445
1347,6901
2835,18753
1199,6240
1658,8134
1303,9641
1487,8391
3306,13014
2045,12677
1583,8073
2250,17970
1941,11940
808,3153
1662,7476
1955,10041
2541,13307
838,3460
1197,5775
2300,22679
1820,9467
1741,10956
2863,33749
1218,5622
5018,21447
3716,18597
1889,10297
1487,7190
1389,5756
1813,12594
2336,8812
2106,11977
1670,10862
1912,8484
5885,28159
1842,8519
1547,8655
3186,21378
932,6348
939,4599
1585,5451
1834,16380
2288,13520
5440,18901
1985,12361
2702,10424
2312,11438
1412,21546
1583,6463
1900,11268
2566,13632
2460,11725
2545,14016
1194,5908
2964,17570
2327,11230
1646,8735
3454,26150
1911,11012
1507,5369
2463,13386
1050,4413
1658,7858
2756,16355
2037,8669
1245,12397
2049,14952
1604,9217
1859,10946
1716,10338
1632,6084
1937,10030
1844,8180
1366,5969
1688,12960
2304,15291
4186,19827
2262,17868
2093,13937
1889,17944
1701,7355
2033,8684
2038,7908
1497,8833
2315,11464
2256,14233
2307,21376
1120,4571
2324,12449
2501,9873
1784,11813
4348,35399
2469,14385
1639,8081
3636,15705
1835,7945
1727,10154
1294,4961
5317,22143
2238,18444
1779,20093
2052,10127
