pyram,clock
1229,2365
938,1326
1550,4507
1362,2985
544,1043
921,1323
1107,6211
368,1610
1350,2049
1262,1613
1344,1899
636,1609
746,1722
430,727
880,3549
583,2274
686,2172
342,1986
596,1252
1578,5587
402,953
421,1543
2182,4618
2577,4250
4977,7832
1008,665
963,2838
945,1394
964,1883
921,798
682,4286
1172,1642
2022,3276
1385,1271
1065,1880
1464,3029
408,682
584,838
986,2690
886,1892
2355,4626
3666,1372
565,1817
1189,1898
667,1868
816,1419
653,2664
586,1231
1101,2825
811,1840
474,990
472,703
878,3871
1588,3251
515,1021
764,1409
1132,4636
973,1998
297,788
1810,2599
1047,1223
669,1102
370,832
993,2411
1252,2439
2669,9406
1105,3188
575,965
2067,1982
1567,6835
1102,2878
1385,5180
828,1657
832,1921
1024,755
2100,5497
374,1527
2210,1525
1218,2162
494,3804
851,4030
1233,1693
1449,909
2142,1469
631,2133
1115,827
2391,3288
1205,4880
475,1647
1628,4265
537,1155
1127,1829
1439,3014
560,1401
1284,1300
910,901
2405,4891
517,2302
958,5498
1039,1361
2318,3669
707,2509
1527,3542
723,1424
448,1518
400,1297
1752,2060
2458,4847
710,1639
1307,8450
1048,3331
746,2181
1460,2529
869,2177
562,967
810,1211
808,1414
1351,3052
1875,1385
646,1345
1717,2989
1005,1807
2026,1771
844,2261
449,1338
824,3038
1626,3152
579,1381
1190,3643
1685,2820
451,606
1216,1724
477,1027
1283,2353
1226,3701
1461,894
689,1781
723,1675
2263,5207
775,1188
720,2616
726,1371
2087,1814
883,1375
1486,1890
1638,5788
1226,2309
1618,3306
793,1992
580,2365
693,2356
2419,1387
1621,2940
886,1419
1870,3320
553,1782
1220,3977
484,1696
1609,2608
581,1096
1006,4032
1528,1735
912,1791
350,868
496,1201
818,1901
2882,1410
1097,1967
549,1577
1023,2240
460,1097
1088,2738
1695,3157
861,2320
1454,4307
1138,2756
897,1162
767,4164
623,2554
301,851
881,2963
449,598
945,1790
527,2640
365,768
312,1440
890,1441
1011,1710
1045,2737
664,1755
1104,3538
1489,1080
569,1034
1843,2620
1211,2495
1017,2561
399,1443
638,1207
644,1270
656,910
402,1002
1416,3256
771,1777
777,5733
898,1136
4084,5529
1162,7685
1027,3315
916,3032
1767,4060
1091,2482
1703,1377
2277,4403
2623,976
1157,962
683,3429
916,1081
1670,2041
533,1661
905,5851
809,1751
900,3086
565,1373
752,2434
530,1333
716,1963
2622,1967
815,2100
575,1175
1395,1952
1886,2792
476,2264
862,1040
859,1844
914,2946
340,915
828,1525
479,2455
642,1195
507,1064
1187,1890
1357,1199
807,2102
403,865
370,839
1377,2374
486,1854
1379,2321
1596,2269
545,2103
496,8306
470,1226
1043,2709
1124,4148
422,1460
707,1303
585,1227
357,1847
826,1891
825,3547
1264,1605
1885,4261
742,3243
1142,1725
1075,9803
1754,2700
1362,1944
396,1404
1027,2911
1570,1662
1687,1420
885,4205
579,2320
1136,2692
880,4075
1651,4912
740,1419
529,898
597,1798
740,2671
434,1218
1141,1524
2442,1774
623,1594
1325,2776
4855,8871
690,1818
1157,915
331,582
346,1095
551,2495
1924,4263
569,2900
703,1075
1099,1956
605,1305
622,3345
1419,1062
409,2635
1213,2016
482,1808
905,4685
1228,2780
624,1434
571,2603
967,1880
673,1678
1190,2020
2308,709
1671,2008
851,2366
872,1864
991,4431
478,3288
949,1081
1328,1606
929,913
544,1238
628,1182
1022,3489
471,2762
1054,1734
865,1374
379,1099
724,1949
783,1718
339,518
679,1345
2532,2366
1910,4320
719,1101
1026,2165
611,910
333,777
3035,880
1824,1374
470,1390
1914,4190
1054,2704
547,1779
713,1340
995,4405
847,2632
1609,4218
1834,3695
761,1505
837,3288
1931,1708
704,1496
409,508
628,885
409,1062
1050,2231
2325,3235
1177,3963
933,1670
1211,2397
1430,2111
660,2701
552,2855
765,1709
841,2840
1453,5883
1104,3078
684,1222
523,1570
622,2382
1028,3568
547,1008
777,2781
868,2967
1475,2372
1472,2500
1842,4682
499,1272
3717,5304
1237,2257
1206,1431
828,1419
1114,4410
679,1821
1286,2035
265,1483
389,1203
1099,2333
1467,1608
948,4226
1042,1601
691,1274
739,1394
