comps
1
1
1
4
1
1
1
1
31
42
1
1
1
1
1
1
1
1
2
19
5
1
4
2
3
6
23
5
1
1
3
1
2
1
4
3
1
199
148
1
6
1
186
2
5
3
2
4
1
2
57
1
19
2
13
1
13
2
1
2
8
1
6
84
1
27
1
9
1
1
36
1
1
2
9
25
4
1
9
1
41
1
1
1
9
5
1
44
1
1
1
1
1
4
1
1
4
6
110
17
1
2
20
31
1
6
27
4
1
4
1
5
4
9
2
6
2
2
3
4
18
2
1
2
1
43
52
13
3
161
3
1
1
1
1
6
1
13
6
8
1
5
3
12
9
33
1
11
9
6
9
1
1
3
3
12
115
2
2
1
3
4
9
2
1
1
1
2
22
2
1
2
1
2
2
2
2
34
1
1
2
1
8
6
4
1
1
2
3
1
1
6
72
62
3
5
1
1
1
1
3
5
4
2
49
1
1
70
1
7
1
20
58
1
116
3
2
1
11
1
6
1
1
45
1
1
4
6
56
2
5
2
6
1
2
21
2
8
1
1
13
17
1
8
1
1
2
4
6
23
4
1
2
3
21
1
2
4
5
1
2
1
3
3
1
1
1
2
1
1
2
15
3
1
2
1
1
82
1
20
1
2
2
5
2
154
14
23
2
7
38
1
1
1
1
12
1
1
1
2
1
1
59
23
1
8
1
8
5
2
4
1
1
1
1
9
12
30
4
1
1
2
1
2
13
28
2
3
1
26
119
1
4
4
1
1
1
12
3
1
3
1
3
1
1
6
25
1
22
1
2
1
5
1
1
1
10
1
1
6
7
1
1
1
16
1
2
1
31
130
1
2
2
3
1
41
7
1
3
1
5
2
1
1
1
1
17
24
40
4
1
2
14
13
1
1
4
41
1
2
6
2
3
1
5
1
2
1
2
2
3
1
1
37
2
5
1
13
20
1
14
1
3
1
1
1
1
1
1
2
1
1
1
1
25
1
3
6
1
4
11
5
1
3
1
2
154
8
107
1
2
4
76
1
2
3
2
1
1
2
2
16
2
6
8
34
6
3
1
3
2
4
5
9
2
9
4
1
1
41
3
8
92
6
13
1
3
12
2
1
1
1
1
3
1
1
3
3
5
2
1
1
1
1
1
1
2
1
11
2
3
3
4
5
6
1
3
1
4
5
1
2
2
1
1
1
1
1
1
16
13
2
7
2
1
7
3
1
40
5
18
1
2
9
1
27
16
5
51
4
1
2
1
1
2
1
1
1
1
5
1
1
3
2
5
1
1
1
1
188
1
4
6
1
3
2
1
1
1
5
5
1
5
1
1
3
3
2
1
1
25
2
1
1
2
28
1
1
1
1
5
1
1
1
4
1
1
1
18
6
2
41
2
70
1
1
13
39
1
3
8
10
1
1
1
1
1
1
27
6
1
48
31
25
2
1
1
1
1
6
2
3
46
4
7
1
4
9
22
11
3
30
34
1
1
1
1
4
3
1
1
4
5
11
6
1
1
3
8
4
7
1
1
4
47
6
1
1
1
6
10
1
32
2
1
1
4
4
10
22
1
1
3
1
1
2
2
120
57
1
2
9
13
3
7
1
175
35
1
1
6
46
1
1
1
1
6
1
45
1
2
2
1
5
3
1
10
2
7
1
2
1
2
10
1
13
4
4
3
1
1
1
1
7
1
1
1
1
26
2
122
54
8
2
2
4
1
4
1
1
1
5
1
1
4
2
