country,records,individuals
USA,265,66
Australia,113,6
Poland,105,28
China,86,22
Japan,61,16
Germany,54,10
Hungary,48,9
Netherlands,48,9
Sweden,25,10
France,19,9
Finland,18,3
United Kingdom,17,8
Peru,15,2
Korea,15,9
Denmark,14,5
Belgium,13,3
Canada,13,7
Italy,10,6
Russia,9,2
Brazil,8,3
India,5,5
Hong Kong,5,4
Taiwan,5,3
Malaysia,4,3
Israel,3,1
Indonesia,3,3
Czech Republic,3,2
Mexico,2,1
Spain,2,2
Thailand,2,1
New Zealand,1,1
Philippines,1,1
Romania,1,1
Belarus,1,1
Argentina,1,1
