comps,compAVG
5,1007.4000
3,881.6667
2,1624.0000
1,1587.0000
156,818.9016
105,878.5085
121,1023.8705
14,742.0625
7,836.1429
1,1136.0000
1,1908.0000
2,833.3333
58,1402.6230
15,1733.1333
3,1268.5000
11,591.6154
7,799.0000
3,1259.3333
23,704.1000
6,1439.4286
1,2813.0000
1,1211.5000
91,728.3386
4,1300.5000
5,796.6667
2,904.6667
2,1470.3333
1,2123.0000
1,1603.0000
34,479.1786
30,924.8824
7,922.1429
3,1336.6667
1,2444.0000
7,1731.2857
3,1507.0000
2,994.3333
23,773.3143
1,2206.0000
6,1098.5714
5,1006.0000
2,1364.0000
1,3012.0000
7,1605.0000
85,831.8595
1,754.0000
1,1330.0000
18,1246.9474
5,762.4000
1,1315.0000
1,1587.0000
3,1552.0000
67,588.4867
13,1245.2667
1,917.0000
10,809.4545
46,1479.9231
3,1516.3333
5,1051.6667
3,1078.0000
107,943.9545
29,1213.7000
5,2143.2000
24,731.1481
1,1806.0000
3,2419.3333
2,1787.0000
1,1384.0000
1,1450.0000
2,1806.0000
13,783.3333
2,1568.5000
13,864.2857
4,1654.2500
49,858.8393
1,1854.0000
120,428.5596
2,1625.0000
14,800.1000
32,1074.5000
10,867.9286
1,1677.0000
1,1219.0000
44,469.4557
16,746.0556
4,1258.2500
1,1026.0000
2,1462.5000
1,1776.0000
1,3003.0000
1,5024.0000
1,1993.0000
8,990.6667
2,1230.0000
4,2884.5000
2,1343.5000
23,726.6364
2,1256.0000
1,1456.0000
1,2152.0000
1,1072.0000
25,421.1224
5,1395.4000
1,2697.0000
2,2385.3333
4,1198.5000
1,1064.0000
1,1256.0000
1,6131.5000
1,4937.5000
14,503.6842
58,661.1644
32,755.1707
12,1497.0833
20,979.1724
31,1391.0625
2,2319.5000
4,1333.8000
1,1063.0000
1,1233.0000
4,1357.7500
2,3928.3333
1,957.0000
1,978.5000
1,1800.0000
23,609.5758
1,1022.0000
1,2064.0000
1,1426.0000
1,8499.0000
1,1567.0000
1,1535.5000
3,1139.0000
1,3399.0000
64,1404.3731
37,745.5366
69,423.5208
2,927.0000
1,5093.0000
1,1734.5000
1,1823.0000
1,1762.0000
3,1046.0000
1,1395.0000
1,1105.0000
3,1938.0000
4,1134.0000
1,951.0000
2,1092.5000
1,1693.0000
1,859.0000
2,1161.0000
50,801.3729
2,856.0000
1,1980.0000
10,1558.5000
1,1911.0000
5,831.6000
6,1888.0000
1,2671.0000
1,2024.0000
2,2944.5000
1,1331.0000
1,2839.0000
1,744.5000
5,1399.8333
10,692.1000
2,1674.0000
2,1232.5000
1,4567.5000
37,729.4286
3,1147.6667
1,1183.0000
10,932.5000
10,1091.5000
2,819.6667
1,2649.0000
2,1752.7500
3,1053.8000
151,526.6083
1,3455.5000
2,814.5000
1,5017.0000
1,1215.0000
1,2889.0000
1,1009.0000
1,1822.0000
1,768.0000
1,2114.0000
18,1211.0000
2,1456.0000
1,6176.5000
2,1511.0000
1,4323.5000
24,834.2258
7,752.5000
2,4587.0000
9,1297.6364
1,2509.0000
2,1218.0000
2,1795.0000
1,6178.5000
17,850.8947
3,910.5000
44,794.5952
28,464.0392
6,684.1429
2,1069.3333
19,540.5758
5,1260.5000
1,1913.6667
1,6695.5000
3,2267.3333
1,2209.0000
1,1882.0000
5,710.8333
24,1025.6774
2,949.0000
1,1149.0000
12,1459.7500
1,5126.0000
1,1280.0000
2,1143.0000
1,2880.0000
1,2184.0000
59,657.4023
15,1244.0000
2,737.0000
1,1292.0000
2,2100.5000
4,961.2000
100,388.0899
5,1956.8000
5,1451.0000
41,832.2600
33,425.9359
2,1414.5000
1,1699.0000
1,1707.0000
2,1373.0000
1,1064.5000
1,1742.0000
1,1497.0000
11,734.0833
98,479.3060
47,1302.8085
4,855.2500
2,1053.5000
2,759.3333
1,1756.0000
1,1061.0000
2,1430.5000
3,1156.0000
1,1008.0000
13,738.1176
73,704.2247
16,607.1250
9,629.3000
3,1263.2500
1,1061.0000
11,826.3636
26,752.0000
5,508.0000
1,1810.0000
1,5020.0000
2,2027.5000
29,681.2222
3,1065.0000
113,737.4012
55,513.4800
2,842.2500
3,1115.0000
5,1063.6000
20,620.3200
2,1199.0000
14,849.7333
1,1980.0000
15,537.1304
4,875.2500
1,1400.0000
109,463.5800
12,619.3333
3,1310.3333
1,2250.0000
1,1732.0000
1,2016.0000
1,941.0000
3,619.2000
1,1839.0000
2,1777.5000
12,730.8000
32,717.2703
1,1066.0000
1,1792.0000
15,920.8095
10,2722.5000
1,1094.0000
2,1303.0000
1,966.0000
3,1000.6667
1,640.0000
2,832.0000
1,1993.0000
1,3280.0000
1,5334.0000
23,662.8529
1,1205.0000
2,2362.5000
13,1470.4615
