comps,compAVG
2,2289.6667
26,3362.8491
25,2984.8000
1,7444.0000
12,1971.4375
2,7373.0000
1,2192.0000
2,2406.3333
1,3738.6667
2,6325.5000
4,4251.2000
18,2150.6296
4,3447.5000
1,1928.0000
2,2392.5000
3,2836.2500
194,2246.4123
134,3212.5639
5,1831.3333
179,2513.9846
4,2698.2222
2,5225.0000
1,2295.5000
1,10336.0000
49,3078.5280
17,1781.3514
1,3478.0000
12,2518.1200
10,2969.2857
1,2501.0000
7,1702.2857
5,1877.8750
76,5989.4821
23,4419.0000
7,3517.2857
35,2008.4104
1,2210.0000
8,1827.9333
23,2117.1132
3,1822.2857
8,2826.2941
38,3437.6198
7,4205.3333
3,2796.7500
35,3896.5610
3,2079.4000
1,6388.0000
3,3409.6667
108,2286.8497
12,4376.8571
2,2049.0000
16,5067.2500
30,3192.9459
25,1892.9487
4,2018.1667
1,9863.0000
3,2965.7500
1,7297.0000
3,4268.8000
2,3471.5000
9,2445.7895
5,3210.2000
2,2960.0000
1,11894.5000
3,2432.7500
4,2004.1667
13,2925.6842
2,2166.5000
2,3014.0000
42,1657.6216
52,2438.2248
11,5119.6111
2,9553.5000
148,2521.2905
1,32739.0000
1,9321.0000
1,5903.0000
1,2863.0000
3,4250.5000
1,3279.0000
12,4291.8571
5,3323.0000
5,4906.6667
4,3623.0000
3,5270.6667
10,3974.6875
9,2313.0588
28,2511.7403
11,3518.9091
8,3176.8000
3,3728.5000
6,3535.8750
3,3311.2500
2,3227.3333
7,4197.4444
113,4571.5301
2,2639.0000
1,27441.0000
2,2497.0000
4,1934.3333
8,2577.9000
1,3567.0000
2,3317.5000
16,2987.9130
1,4208.0000
1,6317.0000
2,2797.5000
1,3898.0000
2,2407.0000
32,3681.4182
1,2692.0000
1,11670.0000
1,8468.0000
8,2670.7000
4,4131.8333
1,5131.6667
1,6815.0000
1,3668.0000
3,3345.6667
1,5186.0000
5,5997.8000
71,1838.2847
61,3206.0625
3,5743.5000
2,9747.0000
1,9400.0000
4,3388.7500
2,2744.6667
1,13214.0000
47,2658.6085
67,5125.8243
1,3622.0000
7,3412.6250
1,3952.0000
20,2115.2400
48,2835.7083
114,4682.4156
1,3145.5000
1,3863.0000
7,4117.8571
6,3196.1250
1,4273.0000
39,3732.7714
3,2211.4000
5,4938.7143
54,1822.7692
2,2918.0000
4,4605.6000
1,28488.0000
5,2979.7143
1,11088.0000
20,1914.8765
2,3401.0000
6,7386.6667
9,5247.0000
17,1426.1750
8,2048.4706
1,3357.0000
2,3092.5000
2,2438.3333
6,2233.2727
23,2224.6716
3,4855.3333
2,3022.0000
3,2411.0000
21,2246.0152
2,5757.5000
3,7590.0000
1,3042.0000
1,4771.0000
1,5860.0000
2,12092.0000
1,3540.0000
1,10609.0000
1,2145.0000
11,3851.5455
2,2689.8000
1,12911.0000
77,2925.5125
17,3134.4000
1,4526.0000
2,3993.5000
4,3172.7273
2,5249.0000
151,1978.4784
8,3100.5000
22,2862.4103
6,3504.8750
38,2792.6353
1,26510.0000
1,5967.0000
12,5228.0417
1,8078.0000
1,5326.0000
1,2226.0000
59,1721.6680
23,1988.1358
7,4083.6923
7,2943.0000
5,3209.7692
2,8812.6667
4,2671.6667
1,7071.0000
4,3230.0000
10,4422.0000
26,2880.6049
3,2811.0000
1,8103.0000
1,5018.0000
9,9686.6667
22,6586.8182
1,3716.0000
3,2242.2000
1,4598.0000
26,2125.0693
115,2193.5249
1,3232.0000
4,2174.0000
3,5098.1667
1,1874.0000
4,3260.1818
3,3121.5714
1,3519.0000
2,3743.2500
4,4807.7500
23,2023.1250
18,3688.7222
1,6237.6667
1,3809.0000
5,3077.0769
1,3824.0000
1,3718.0000
8,2101.9333
1,7585.0000
6,1972.7143
3,3435.6667
1,3836.0000
14,4654.6875
1,7245.0000
30,1970.7830
126,1683.9888
1,4249.0000
3,2736.5000
1,6090.0000
35,2766.2593
7,2385.8571
1,2298.0000
1,4694.0000
3,6162.5000
1,2559.0000
1,13834.0000
16,4950.0270
22,5323.2308
38,4907.9730
3,5047.3333
1,9866.0000
12,6053.2308
12,3174.7273
1,10056.0000
1,5861.0000
4,1627.8571
40,2244.7581
1,7840.0000
6,3278.3750
2,2781.3333
4,3691.1250
2,4177.0000
2,2914.5000
3,4477.7500
1,11200.0000
34,2715.2093
2,3440.0000
5,2043.7778
6,3194.8333
12,3267.3333
11,3371.7500
1,10645.0000
3,2201.5000
2,4141.6667
1,15499.0000
1,3716.0000
1,10325.0000
19,2737.2000
1,3170.5000
4,2357.9000
1,3121.0000
11,1822.0556
3,2213.5000
1,5850.6667
2,3788.7500
140,4557.0494
7,4427.0000
92,2644.7089
2,2838.6667
75,1589.0830
1,3770.0000
1,6168.5000
1,5940.0000
1,6927.0000
1,2317.0000
1,2376.5000
14,2729.4571
1,2756.0000
2,5168.5000
5,2153.7143
34,2047.4815
1,2664.0000
1,2785.0000
2,2657.3750
1,5168.0000
3,5307.5000
3,5636.0000
8,3809.4615
2,2034.0000
9,2924.2593
1,4981.0000
33,3940.8627
2,2515.8750
8,2847.0435
88,2408.6244
5,2690.2500
13,2491.1190
2,4079.0000
10,8007.1667
2,6685.0000
2,7332.5000
3,4783.4000
3,2541.2500
4,2937.2500
1,2581.5000
2,4984.0000
1,2309.5000
6,5005.2857
1,7222.0000
2,2632.5000
2,8161.0000
3,6046.0000
4,4654.8333
4,5570.7500
1,5176.3333
2,4504.5000
2,3664.0000
4,3729.1000
2,5847.6667
2,2168.0000
14,2046.7600
8,2533.4545
7,3379.4444
2,4772.0000
4,7135.8000
2,7472.0000
38,3606.9048
5,2650.5714
17,2576.0455
1,4545.0000
9,2982.0000
26,2173.1067
15,2783.2632
4,3901.4000
50,1767.8182
1,6173.0000
2,2790.5000
2,1843.5000
3,6770.6667
3,3869.5000
2,2985.5000
5,3787.0000
1,7146.0000
1,3914.0000
1,4281.5000
184,2256.9597
1,11700.0000
5,4165.0000
1,4303.6667
2,6932.5000
1,5607.0000
1,5844.0000
4,3300.3000
2,7880.0000
1,3857.0000
3,2126.7500
1,7828.0000
2,4825.5000
2,2486.5000
20,2898.5238
1,2193.0000
1,21445.5000
1,3700.0000
27,2837.7292
1,7508.0000
3,6370.2857
1,15207.0000
1,2853.0000
4,2731.5455
1,16882.0000
1,2241.0000
5,2222.1429
1,1759.5000
35,2150.6042
62,1888.2991
7,6016.2857
30,3330.2326
1,5502.3333
2,4457.6250
5,2255.0000
6,2207.1111
26,3693.5833
6,3291.1429
47,2758.9362
14,2169.4118
17,6527.0000
1,3480.0000
3,3892.0000
2,2829.8333
3,5097.0000
35,2178.0909
2,3149.0000
6,6149.5000
1,4502.0000
3,3527.2000
7,2317.4667
22,2938.2222
10,4755.9444
3,19502.2000
28,2281.7203
31,7019.9672
1,4709.0000
4,3644.6000
1,7495.0000
1,4582.0000
3,3436.0000
4,3531.1667
8,1711.3158
6,2936.0714
1,6847.0000
2,3344.5000
5,6017.2000
3,5994.2500
6,2894.5455
1,5677.0000
1,11225.0000
1,2535.0000
47,3053.3333
1,6887.0000
6,2036.0000
10,3068.0000
31,5204.9118
1,5650.0000
2,3172.5000
9,3584.4444
21,1714.0000
1,3242.0000
2,6621.5000
2,7858.6667
120,2097.5368
54,2789.7586
1,10168.5000
2,9459.0000
8,2412.0909
12,2586.1111
3,5625.5000
7,1908.8235
170,1654.8465
32,2270.8444
1,4594.0000
5,5174.0000
41,2362.5969
6,2943.1429
44,1797.7253
1,6068.6667
1,9528.0000
2,2486.0000
4,17549.0000
3,3392.6667
1,4826.0000
7,2378.7500
1,3886.0000
6,3390.3333
1,5551.0000
1,4850.0000
7,8032.8571
1,3062.0000
13,2334.0400
3,6210.0000
4,2315.5556
3,4813.1429
1,6653.0000
1,6737.0000
6,3156.7778
1,4954.0000
1,4848.0000
1,11722.0000
23,2136.1818
1,7845.0000
119,2742.6295
51,4085.8246
6,6458.5000
2,4297.3333
1,5199.0000
1,4333.0000
4,2218.5714
1,4491.0000
3,2849.5000
1,33788.0000
1,3159.0000
4,2561.1250
2,7922.0000
1,6152.0000
1,3318.0000
3,5087.6667
7,2151.4000
1,5849.0000
1,2881.0000
1,9021.0000
1,2338.6667
21,3151.6875
4,2101.0000
6,2545.2000
1,11933.0000
1,5055.0000
1,2536.0000
19,2051.3281
168,1939.9235
19,1909.5526
2,4010.0000
12,2301.6944
1,2709.0000
1,7535.0000
1,3781.0000
5,4262.7692
1,10454.0000
2,3229.1429
2,15381.0000
1,8523.0000
3,5734.3333
7,2612.9048
32,1952.4701
53,2036.5068
6,2170.1333
1,6030.0000
4,4732.2000
5,7947.2000
1,10054.0000
2,6651.0000
4,4354.4000
4,2307.5000
1,4529.0000
1,9903.0000
3,3382.0000
1,3895.0000
1,12103.0000
1,3892.0000
1,5640.0000
