comps,compAVG
1,15169.0000
4,8620.8000
1,19944.0000
4,17137.0000
17,8327.3889
4,12053.0000
1,17932.0000
183,6104.2323
36,12056.4167
1,20955.0000
123,8738.6832
1,19095.0000
26,19631.4839
12,7520.9231
9,8134.1000
4,13988.0000
2,11216.0000
2,10109.0000
10,20921.8000
3,19349.6667
5,11138.2000
9,9267.2222
1,16478.0000
1,15734.0000
23,7253.7143
3,11483.3333
4,9077.0000
31,7915.8000
8,13616.8750
2,22207.5000
2,29930.5000
3,10991.6667
100,7557.3806
1,9822.5000
3,14164.0000
4,9075.0000
1,9857.0000
1,17842.0000
1,9883.0000
1,14065.0000
1,25521.0000
1,14250.0000
3,13875.3333
2,13500.0000
2,9524.6667
1,18240.0000
21,7414.6818
23,8693.0000
6,11150.3333
2,16933.5000
5,15480.8000
4,12950.0000
5,10620.4000
6,13514.3333
4,11739.0000
1,11972.0000
1,29891.0000
99,7867.1194
4,7701.5000
1,17275.0000
1,15352.0000
1,17817.0000
2,20099.0000
1,27384.0000
1,19312.0000
4,14043.0000
67,5736.3269
32,9985.7273
1,17158.0000
24,8592.9615
1,11355.0000
5,18910.0000
1,17039.0000
2,17480.3333
1,20923.0000
21,8272.9130
1,47963.0000
6,9976.3333
2,18774.0000
13,6843.2857
8,9895.8182
14,10613.4000
13,9728.0714
2,14379.0000
1,12677.0000
25,10485.4800
2,18659.0000
2,13107.0000
141,4286.0604
6,10627.1667
6,12511.8333
5,16511.0000
47,5117.3372
20,7763.1250
1,22679.0000
4,10263.2000
3,12093.6667
1,33749.0000
18,7989.6316
1,21447.0000
1,18597.0000
2,10674.0000
23,8229.9167
68,7418.8082
2,13836.0000
4,10394.0000
1,12397.0000
1,11977.0000
3,12024.6667
14,10351.3333
1,29295.0000
1,22711.0000
3,12147.0000
4,9295.0000
1,21378.0000
10,7688.0000
68,6647.5854
30,6201.6512
1,16380.0000
1,13520.0000
1,18901.0000
5,13609.8000
10,12778.0000
17,14336.1176
1,22780.3333
4,6836.5000
7,13747.5714
1,13632.0000
2,12699.5000
1,14016.0000
26,7712.1290
1,17570.0000
3,13058.0000
1,43347.3333
2,9329.5000
1,26150.0000
36,26629.6364
56,6396.8955
2,13910.5000
68,5253.3302
10,10474.1000
1,16355.0000
5,10576.8000
4,14043.2500
1,14952.0000
5,11792.0000
1,10946.0000
3,13911.0000
9,6885.3333
2,10804.0000
4,9609.0000
25,8425.0769
1,12960.0000
1,15291.0000
1,14068.0000
1,19827.0000
1,17868.0000
1,13937.0000
1,17944.0000
9,8721.8000
5,9265.4000
4,10181.0000
12,10091.4167
3,15057.6667
1,33558.0000
2,17265.3333
1,21376.0000
147,6215.1758
1,34519.6667
3,13618.3333
1,31450.6667
1,9873.0000
1,11813.0000
1,35399.0000
1,14385.0000
15,10163.0667
1,15705.0000
1,48377.3333
3,8194.6667
5,12083.0000
47,5979.9020
1,24416.0000
1,18444.0000
1,20093.0000
3,15054.3333
7,9542.2222
5,7789.2000
34,8651.6486
2,11104.5000
1,10583.5000
18,6239.7778
7,10911.3333
13,6708.6111
3,18572.0000
10,7258.1000
